replication,call_type,call_started,call_answered,call_ended,
1,3,0,0,80.8277,
1,2,43.6272,43.6272,80.9825,
1,1,51.2108,51.2108,625.343,
1,2,643.327,643.327,832.04,
1,2,411.083,411.083,924.56,
1,3,1034.38,1034.38,1096.81,
1,1,1432.63,1432.63,1517.03,
1,2,1604.45,1604.45,1682.05,
1,1,1156.49,1156.49,1706.93,
1,1,1131.33,1131.33,1747.27,
1,3,1682.31,1682.31,2066.35,
1,1,2185.4,2185.4,2363.88,
1,2,1869.9,1869.9,2445.13,
1,2,2385.77,2385.77,2501.28,
1,1,2438.31,2438.31,2547.08,
1,1,2826.07,2826.07,3001.63,
1,2,2005.21,2005.21,3107.15,
1,1,2968.06,2968.06,3183.96,
1,1,3082.62,3082.62,3385.22,
1,1,3131.57,3131.57,3424.03,
1,2,3421.22,3421.22,3527.17,
1,1,2926.56,2926.56,3769.57,
1,3,3791.97,3791.97,3874.22,
1,2,3906.85,3906.85,3907.9,
1,3,3953.45,3953.45,3973.79,
1,3,3753.54,3753.54,3980.28,
1,1,4022.22,4022.22,4290.38,
1,2,4360.81,4360.81,4714.31,
1,1,4792.61,4792.61,4865.33,
1,1,4855.58,4855.58,4950.95,
1,1,4960.38,4960.38,5060.46,
1,1,5014.2,5014.2,5292.82,
1,3,5984.66,5984.66,6041.68,
1,1,4759.18,4759.18,6128.64,
1,3,5996.75,5996.75,6173.88,
1,1,6172.15,6172.15,6290.55,
1,3,6171.75,6171.75,6308.74,
1,3,6246.5,6246.5,6410.1,
1,1,6429.39,6429.39,6579.49,
1,3,6523.61,6523.61,6661.73,
1,1,6112.56,6112.56,6951.24,
1,1,6832.43,6832.43,7015.66,
1,1,6446.11,6446.11,7032.22,
1,1,7086.28,7086.28,7090.05,
1,1,7057.97,7057.97,7130.2,
1,2,5847.88,5847.88,7387.6,
1,1,7432.05,7432.05,7479.09,
1,1,7599.77,7599.77,7608.84,
1,3,8081.52,8081.52,8175.37,
1,2,8441.36,8441.36,8475,
1,3,8242.96,8242.96,8534.98,
1,1,8665.38,8665.38,8732.24,
1,2,8803.48,8803.48,8835.73,
1,3,8777.4,8777.4,8842.7,
1,3,8859.77,8859.77,8919.75,
1,1,9216.82,9216.82,9312.94,
1,2,9346.15,9346.15,9425.74,
1,2,9172.61,9172.61,9806.47,
1,1,9770.15,9770.15,9966.88,
1,1,9937.36,9937.36,10163.1,
1,1,10128.9,10128.9,10166.5,
1,2,10001.9,10001.9,10169.9,
1,1,10245.7,10245.7,10302,
1,2,10487.9,10487.9,10497.8,
1,3,10450.9,10450.9,10541.9,
1,2,10335.1,10335.1,10567.6,
1,1,9555.74,9555.74,10588.8,
1,1,10756,10756,10874.5,
1,1,10715.3,10715.3,10890.2,
1,1,11117.4,11117.4,11241.8,
1,1,11328.5,11328.5,11427.2,
1,1,10060.6,10060.6,11432.4,
1,2,11475.5,11475.5,11580,
1,3,11571.9,11571.9,11581.3,
1,2,11186,11186,11672.7,
1,2,10489.2,10489.2,11692.8,
1,3,11449.7,11449.7,11724,
1,2,10884.4,10884.4,11822,
1,2,11902.1,11902.1,11904.7,
1,1,11762.3,11762.3,12006.1,
1,2,12133.4,12133.4,12212.5,
1,1,12131.7,12131.7,12272.3,
1,3,12264.5,12264.5,12476.7,
1,1,12198.9,12198.9,12768.1,
1,1,12628.5,12628.5,12962.5,
1,2,13218.3,13218.3,13280.3,
1,3,13825,13825,13916.4,
1,3,13863.8,13863.8,13996.9,
1,1,13994,13994,14038.5,
1,3,13562.5,13562.5,14048.4,
1,2,13585.2,13585.2,14182.3,
1,1,14122.2,14122.2,14333.8,
1,1,13765.4,13765.4,14358,
1,1,14288.7,14288.7,14564.2,
1,2,14114.9,14114.9,14583.9,
1,1,14772.2,14772.2,15117.5,
1,2,15116.7,15116.7,15156.1,
1,1,14614.8,14614.8,15423.9,
1,3,15606,15606,15808.5,
1,1,15570.9,15570.9,15833.7,
1,2,15214.3,15214.3,15858.2,
1,2,15824.5,15824.5,15892,
1,1,15822.1,15822.1,15966.6,
1,1,15995,15995,16093.3,
1,1,16109.6,16109.6,16209.2,
1,1,15922.6,15922.6,16274.9,
1,2,16262.3,16262.3,16282.2,
1,1,15842.4,15842.4,16422.2,
1,3,16526.9,16526.9,17029.9,
1,1,16906.5,16906.5,17054.5,
1,2,16822.6,16822.6,17284.6,
1,1,16559.8,16559.8,17403.5,
1,1,17321.3,17321.3,17408,
1,3,17622.1,17622.1,17647.3,
1,2,17831.6,17831.6,18070.6,
1,2,18094,18094,18176.9,
1,3,18184.7,18184.7,18442.8,
1,1,18139.4,18139.4,18521.2,
1,1,18517,18517,18531.5,
1,3,18411.6,18411.6,18590,
1,3,18566.2,18566.2,18638.5,
1,3,18512.4,18512.4,18792.4,
1,1,18604.2,18604.2,18797.3,
1,1,18912.8,18912.8,18961.9,
1,1,19000,19000,19039.6,
1,3,19265,19265,19385.2,
1,3,19463.8,19463.8,19482.9,
1,1,19411.1,19411.1,19629.2,
1,3,20055.8,20055.8,20070.8,
1,3,19898.6,19898.6,20178.7,
1,3,20132.6,20132.6,20382.9,
1,2,20245.7,20245.7,20498.2,
1,3,20520.1,20520.1,20521.7,
1,1,19863.8,19863.8,20628.2,
1,2,20546.4,20546.4,20706.9,
1,3,19960.6,19960.6,21031.3,
1,1,20811.3,20811.3,21058.5,
1,2,21005.8,21005.8,21176.5,
1,2,21201.9,21201.9,21482.3,
1,3,21409.8,21409.8,21514.4,
1,1,22077.2,22077.2,22134.1,
1,1,22054.1,22054.1,22328.2,
1,2,22430.6,22430.6,22580.3,
1,2,22417.3,22417.3,22705.3,
1,2,22697.2,22697.2,22778.1,
1,1,22761.4,22761.4,22797.3,
1,1,22687.5,22687.5,22830,
1,3,22000.1,22000.1,22961.3,
1,1,23395.7,23395.7,23415.6,
1,2,23534.1,23534.1,23672.2,
